lor,subdistrict,area,district,density,popul,crime_total,robbery,theft_bike,theft_other,bulglary,graffiti,drug_offences,hard_crime,other_crime,area_objects,nb_objects,area_a,nb_a,area_f,nb_f,area_c,nb_c,area_p,nb_p,area_g,nb_g,cluster
11001,Tiergarten Süd,517,Mitte,29.5,15249,25169,230,1541,8197,157,289,1312,2912,10532,229.64,54,0.0,0,0.0,0,0.0,0,226.75,38,0.0,0,2
11002,Regierungsviertel,270,Mitte,48.41,13071,45567,252,1882,13664,122,826,1316,4307,23196,6.37,15,0.0,0,0.0,0,0.0,0,5.8,12,0.0,0,2
11003,Alexanderplatz,623,Mitte,95.66,59594,26454,258,1248,9451,129,530,1438,3101,10298,56.18,128,0.0,0,0.0,0,5.87,4,43.97,78,0.0,0,2
11004,Brunnenstraße Süd,176,Mitte,179.07,31516,10788,133,1149,3544,102,324,400,1088,4049,26.79,26,0.0,0,0.0,0,12.64,3,10.33,9,0.0,0,4
12005,Moabit West,431,Mitte,105.97,45674,13207,105,849,3339,151,217,1141,1738,5666,15.22,51,0.0,0,0.0,0,0.0,0,11.04,22,0.0,0,4
12006,Moabit Ost,392,Mitte,107.12,41991,22752,155,1041,6542,171,181,1322,2403,10938,43.2,59,1.49,1,0.0,0,0.0,0,38.62,36,1.49,1,2
13007,Osloer Straße,237,Mitte,159.15,37719,14823,207,581,5477,114,260,565,2317,5302,43.43,45,15.96,7,0.0,0,17.2,3,7.11,9,15.96,7,4
13008,Brunnenstraße Nord,332,Mitte,119.4,39640,15651,182,658,5252,159,520,838,2311,5732,50.26,55,0.0,0,0.0,0,11.09,3,35.82,21,0.0,0,4
14009,Parkviertel,713,Mitte,63.74,45450,12079,123,513,4095,119,99,433,2029,4669,256.67,80,49.41,9,13.56,4,44.78,9,146.37,24,49.41,9,1
14010,Wedding Zentrum,250,Mitte,223.15,55788,13722,226,731,4069,86,289,1007,2276,5037,31.83,49,1.3,1,0.0,0,13.91,3,13.31,18,1.3,1,4
21001,Südliche  Friedrichstadt,294,Friedrichshain-Kreuzberg,137.23,40347,22277,330,1006,7750,141,283,2303,2263,8201,25.31,56,0.0,0,0.0,0,0.0,0,21.96,33,0.0,0,2
22002,Tempelhofer Vorstadt,475,Friedrichshain-Kreuzberg,135.86,64533,15439,175,1128,5988,95,271,772,1661,5349,96.67,58,8.58,2,0.0,0,36.39,4,48.1,25,8.58,2,1
23003,Nördliche Luisenstadt,127,Friedrichshain-Kreuzberg,159.24,20224,22523,405,1286,9118,178,336,2393,2453,6354,11.14,27,0.0,0,0.0,0,0.0,0,8.78,11,0.0,0,2
23004,Südliche Luisenstadt,150,Friedrichshain-Kreuzberg,177.37,26605,30009,616,1846,8096,139,376,5942,2334,10660,18.88,26,0.0,0,0.0,0,0.0,0,14.95,12,0.0,0,2
24005,Karl-Marx-Allee Nord,223,Friedrichshain-Kreuzberg,111.04,24763,10350,113,832,3958,105,210,254,1268,3610,75.16,58,0.0,0,0.0,0,18.15,2,52.44,32,0.0,0,1
