id,lor,subdistrict,district,g_type,g_area
1801531181000300,112005,Alt-Hohenschönhausen Süd,Pankow,C,10.06
1801540131000000,112005,Alt-Hohenschönhausen Süd,Pankow,C,8.13
2201791011000100,112005,Alt-Hohenschönhausen Süd,Lichtenberg,C,22.43
2201791011000200,112005,Alt-Hohenschönhausen Süd,Lichtenberg,C,5.03
1200660481000200,63006,Drakestraße,Steglitz-Zehlendorf,C,2.19
1200661881000100,63006,Drakestraße,Steglitz-Zehlendorf,C,19.72
1801550321000200,33005,Blankenburg/Heinersdorf/Märchenland,Pankow,C,0.72
1801560321000000,33005,Blankenburg/Heinersdorf/Märchenland,Pankow,C,1.01
1300691971000200,74009,Tempelhof Südost,Tempelhof-Schöneberg,C,13.11
1300696321000300,74009,Tempelhof Südost,Tempelhof-Schöneberg,C,0.97
1300706501000000,74009,Tempelhof Südost,Tempelhof-Schöneberg,C,4.1
1400800011000100,74009,Tempelhof Südost,Neukölln,C,9.21
1400816011000400,82008,Buckow,Neukölln,C,0.53
1701451881000000,115013,Karlshorst,Lichtenberg,C,8.07
1601290031000300,92005,Oberschöneweide,Treptow-Köpenick,C,6.99
1801531181000200,36014,Prenzlauer Berg Ost,Pankow,C,26.6
1801531181000300,36014,Prenzlauer Berg Ost,Pankow,C,10.06
1501201071000200,91003,Baumschulenweg,Treptow-Köpenick,C,16.11
1501201081000000,91003,Baumschulenweg,Treptow-Köpenick,C,15.69
401110051000100,37016,Prenzlauer Berg Süd,Pankow,C,5.54
401110061000000,37016,Prenzlauer Berg Süd,Pankow,C,3.32
1400790651000200,81003,Reuterstraße,Neukölln,C,4.13
900480131000000,45009,Halensee,Charlottenburg-Wilmersdorf,C,1.16
700207141000200,42003,Westend,Charlottenburg-Wilmersdorf,C,15.9
700263461000200,42003,Westend,Charlottenburg-Wilmersdorf,C,5.09
600161551000000,22002,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,C,5.85
600162391000400,22002,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,C,7.64
600162391000500,22002,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,C,13.1
1400790701000200,22002,Tempelhofer Vorstadt,Neukölln,C,9.8
100996051000200,11004,Brunnenstraße Süd,Mitte,C,5.28
100996061000100,11004,Brunnenstraße Süd,Mitte,C,2.72
100996071000300,11004,Brunnenstraße Süd,Mitte,C,4.64
1100612331000200,73005,Friedenau West,Tempelhof-Schöneberg,C,2.12
1801540131000000,35010,Weißensee Ost,Pankow,C,8.13
1801540241000100,35010,Weißensee Ost,Pankow,C,1.36
1801540431000000,35010,Weißensee Ost,Pankow,C,13.2
1701500061000100,113007,Alt-Lichtenberg,Lichtenberg,C,20.09
1701500061000200,113007,Alt-Lichtenberg,Lichtenberg,C,2.48
1701500061000300,113007,Alt-Lichtenberg,Lichtenberg,C,7.0
1701500061000400,113007,Alt-Lichtenberg,Lichtenberg,C,2.65
1100586221000100,74008,Tempelhof Südwest,Tempelhof-Schöneberg,C,10.99
1300681231000200,74008,Tempelhof Südwest,Tempelhof-Schöneberg,C,8.56
1400782091000200,81004,Rixdorf,Neukölln,C,0.54
1400782341000000,81004,Rixdorf,Neukölln,C,1.26
1801570741000000,33004,Karow,Pankow,C,1.33
1801570961000000,33004,Karow,Pankow,C,0.57
300100571000000,14009,Parkviertel,Mitte,C,10.58
300106381000700,14009,Parkviertel,Mitte,C,2.15
300106381000800,14009,Parkviertel,Mitte,C,7.96
300106381001800,14009,Parkviertel,Mitte,C,2.08
300110621000000,14009,Parkviertel,Mitte,C,9.34
300116171000000,14009,Parkviertel,Mitte,C,5.07
300116321000200,14009,Parkviertel,Mitte,C,2.74
300116321000300,14009,Parkviertel,Mitte,C,2.18
2000856471000300,14009,Parkviertel,Reinickendorf,C,2.68
1300706011000600,75010,Mariendorf Nord,Tempelhof-Schöneberg,C,2.46
1300706011000700,75010,Mariendorf Nord,Tempelhof-Schöneberg,C,12.14
1300706041000400,75010,Mariendorf Nord,Tempelhof-Schöneberg,C,2.89
1300706501000000,75010,Mariendorf Nord,Tempelhof-Schöneberg,C,4.1
1400793051000300,82006,Britz Nord,Neukölln,C,10.58
1400800011000100,82006,Britz Nord,Neukölln,C,9.21
1400800291000200,82006,Britz Nord,Neukölln,C,6.1
1901610961000000,34007,Pankow Zentrum,Pankow,C,1.23
1400790701000200,81001,Schillerpromenade,Neukölln,C,9.8
1400792241000200,81001,Schillerpromenade,Neukölln,C,5.67
1400792551000200,81001,Schillerpromenade,Neukölln,C,7.53
1400793051000300,81001,Schillerpromenade,Neukölln,C,10.58
1400796021000400,81001,Schillerpromenade,Neukölln,C,10.65
1400800011000100,81001,Schillerpromenade,Neukölln,C,9.21
2000921101000000,124007,Nord 1 - Frohnau/Hermsdorf,Reinickendorf,C,4.19
2000922021000300,124007,Nord 1 - Frohnau/Hermsdorf,Reinickendorf,C,8.02
700256831000200,51003,Spandau Mitte,Charlottenburg-Wilmersdorf,C,14.25
1601310211000100,92008,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick,C,8.52
1200671451000200,76012,Marienfelde Nord,Steglitz-Zehlendorf,C,6.23
1300736431000300,76012,Marienfelde Nord,Tempelhof-Schöneberg,C,2.92
2301910211000000,104009,Mahlsdorf,Marzahn-Hellersdorf,C,0.7
2301911091000000,104009,Mahlsdorf,Marzahn-Hellersdorf,C,2.89
1400800071000700,82007,Britz,Neukölln,C,14.6
1400800071000800,82007,Britz,Neukölln,C,3.46
